Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,30,15,8,47,7.53,0.000%,1.24948,1.03,0.35,846.0
GetQuestions,40,14,7,49,8.80,0.000%,5.00000,4.13,1.39,846.0
TOTAL,70,15,7,49,8.30,0.000%,1.28944,1.07,0.36,846.0
