Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
GetQuizzes,70,31,0,451,72.72,28.571%,.64454,0.76,0.13,1210.3
TOTAL,70,31,0,451,72.72,28.571%,.64454,0.76,0.13,1210.3
